id,GSM2356843,GSM2356844,GSM2356845,GSM2356846,GSM2356847,GSM2356848,GSM2356849,GSM2356850,GSM2356851,GSM2356852,GSM2356853,GSM2356854,GSM2356855,GSM2356856,GSM2356857,GSM2356858,GSM2356859
ABHD6,3.000417059,3.239836471,3.128591176,3.215424118,3.043917647,3.122898824,2.791079412,2.834188824,3.101859412,3.126172941,3.060947647,3.266299412,3.101764118,3.172311765,2.939352941,3.061401176,3.218488235
ACHE,7.482674412,7.431601176,7.460832941,7.463494118,7.436281176,7.475465882,7.467971765,7.513347059,7.455300588,7.260439412,7.384942353,7.420408824,7.714464706,7.556925882,7.295354706,7.808013529,7.610985294
ADA,8.570802941,8.610413529,8.629178824,8.294839412,8.485377059,8.309804706,8.581351176,8.64275,8.551695294,8.655311765,8.629579412,8.671514706,8.757807059,8.691961765,8.509059412,8.95893,9.098136471
ADAMTS4,9.146536471,9.223961471,9.237312353,9.116275882,9.281193529,9.249054706,8.978872353,9.020779412,9.192698235,8.947304706,9.054995882,9.001124706,9.16861,9.174698235,9.35498,9.441137059,9.238398235
ADRA2A,3.469527941,3.769942941,3.472045882,3.355178235,3.677567647,3.668704706,3.513672941,3.286451765,3.222316471,3.545834118,3.809258235,3.547502941,3.578001765,3.329787353,3.453984118,2.976565882,3.355681176
ADRB1,4.667835294,4.755541176,4.682194118,4.689852353,4.656171176,4.832884118,4.698678235,4.558997059,4.787568824,4.80799,4.642280588,4.86526,4.723804706,4.718652353,4.53262,4.848595882,4.730804118
AKR1B1,2.315364706,2.236662353,2.420144118,2.263763529,2.119347059,2.254834706,2.332607353,2.337366471,2.243487059,2.535292353,2.172831176,2.288227059,2.338611765,2.217908235,2.356955882,2.247529412,2.394337647
AMPD2,7.854034706,7.912287059,7.675271176,7.405154706,7.027589412,7.023024706,7.717165882,7.872667059,7.731912941,6.995764706,6.440408824,6.430677647,7.442999412,7.737634118,7.859995294,6.949155882,7.346999412
APP,9.198966471,9.109137647,9.160008235,9.197612941,9.303215294,9.238811176,9.211401765,9.071405294,9.067662647,9.317525294,9.162570588,9.198966471,9.068415882,9.166471176,9.165304412,9.227211176,9.182250588
AR,4.964392941,4.189915294,4.803327647,4.355782941,6.029231176,4.371613529,5.087238824,4.251974118,4.299867647,6.080679412,4.603897353,5.320989412,4.088722353,4.364661765,4.342051765,4.585506176,5.093193529
ATM,8.069809412,7.973743529,8.110652941,8.407277647,8.339708824,8.284269412,8.009511176,8.008212941,8.001389412,8.003916765,8.122955294,7.563851176,7.778166471,7.772935294,7.832372353,7.701017059,7.556925882
AVPR1A,3.049736471,3.157113529,2.715331765,3.156634706,3.264155882,2.852462941,3.054924118,2.989254118,2.904802941,3.016665882,3.133636471,2.891134706,3.119851765,3.314662353,3.134542941,2.854088824,2.838594706
BRAF,5.292904706,4.258255294,4.971656176,4.918051176,6.493991176,4.931203529,5.119151176,4.29636,4.40066,6.102659412,5.351317059,5.550817647,3.956298235,4.841905882,3.685743529,4.505782353,5.231679412
C5AR1,7.590522941,7.72899,7.620698235,7.565671765,7.456638824,7.546815882,7.523843529,7.688897647,7.71893,7.591757647,7.759878824,7.550747647,7.906972647,7.763075882,7.479548235,7.769341765,7.753075294
CACNA1C,7.496152941,7.428837059,7.407412353,7.236444118,7.341362941,7.384942353,7.547329412,7.43397,7.422131765,7.521899412,7.482137647,7.455300588,7.545773529,7.548864118,6.877672353,7.450838235,7.219965294
CACNA1H,4.000914706,3.97002,3.766014118,3.982868235,3.765630294,4.030288235,3.926594118,4.015558235,3.922135882,3.921841765,4.037088824,3.426340588,3.961164706,4.121224706,3.933791176,4.120852941,3.818480588
CAMK2A,4.96987,4.779137059,4.761265294,4.910442353,5.177938824,4.848595882,5.003060588,4.894177059,4.598726471,5.558268824,4.360492353,5.309299412,4.720063529,4.954369412,4.545884706,5.234821765,5.788906471
CAMK2B,4.213885294,3.91683,3.870548235,3.973748235,3.91224,4.136144118,3.932034118,4.033529412,3.940217059,4.068075882,4.272118824,4.275198824,3.781318235,3.823948824,3.766014118,3.828151765,3.926093529
CAPN1,9.325470588,9.392355294,9.432653529,9.280586471,9.158701176,9.311874706,9.381148824,9.445935882,9.391735882,8.901393529,8.856564118,8.845144706,9.278500588,9.331931176,9.510136471,8.601397647,8.652288235
CA13,7.954956471,7.935148235,7.823025294,7.617323529,7.695395294,7.683251176,7.722120588,7.838116765,7.773517059,7.81924,7.828518824,7.861638235,7.763344412,7.674388235,7.770374706,8.191108235,7.966113235
CA7,9.967441765,10.18973529,10.06437706,10.80577059,10.77996471,10.64502941,9.937247059,10.00254059,9.991454706,10.53483529,10.91361765,10.63024118,9.77489,9.839312353,9.958344706,10.33418235,10.32601765
CDK5R1,4.332203529,4.509225882,4.387803529,4.396344118,4.192345882,4.134477647,4.537795882,4.329197647,4.266303529,4.134811765,4.331365294,4.117325294,4.489954118,4.469868824,4.472706471,4.336501765,4.286782353
