,GSM2356843,GSM2356844,GSM2356845,GSM2356849,GSM2356850,GSM2356851,GSM2356855,GSM2356856,GSM2356857,GSM2356846,GSM2356847,GSM2356848,GSM2356852,GSM2356853,GSM2356854,GSM2356858,GSM2356859
C11orf58,9.477364118,9.387509412,9.576032353,9.385742941,9.366934118,9.391414706,9.393516471,9.457955294,9.69608,9.254895588,9.022446471,9.158970588,9.326579412,9.349807059,9.440343529,9.252838824,9.411296471
C8orf33,7.480175882,7.636039412,7.647607059,7.507632941,7.429034118,7.532202353,7.549551765,7.515877647,7.683251176,7.057958235,7.198637059,7.118545294,7.689768235,7.854442941,7.810724118,7.98346,7.843752941
C9orf85,7.99063,7.942777059,8.01788,8.060661176,7.984817647,7.982228824,7.771698824,8.018552941,8.229906471,7.30622,7.420738235,7.449797059,7.255981765,7.31124,7.390287647,8.004741765,7.963073529
KIAA1143,9.109586765,9.072683529,9.14242,9.114008235,8.973957059,9.109416471,8.992333529,9.097527059,9.280142353,8.352781176,8.295524118,8.329278235,8.638486471,8.654508824,8.683191765,8.828470588,8.90756
C6orf120,6.735276176,6.853235294,7.052707941,6.880669412,6.643845294,6.749857647,6.650364706,6.776865294,6.789307647,6.763253529,6.719352941,6.441649412,7.019256471,7.092346471,6.799676471,6.689587059,6.904247647
C19orf12,7.915802353,7.858777059,7.910258824,8.027271765,7.995765882,7.929538824,7.855209412,7.915101176,7.765182941,7.721700588,7.611885,7.727141176,7.713335882,7.586625882,7.811846471,8.169560588,8.084672353
C15orf39,6.829717647,6.911594118,6.847903529,6.911385294,6.920806471,6.869801765,7.015369412,6.816738824,6.804410588,6.813915294,6.708465294,6.798363529,6.76959,7.136390588,6.821889706,7.082367059,6.895212941
C22orf23,6.203602353,6.181469412,6.433334706,6.031704118,5.860325294,5.970392941,5.861385882,6.161271765,5.762395882,6.265695294,6.357011471,6.100406471,6.168694706,6.152555882,6.117924412,6.278424118,6.124439412
C2orf74,2.327075882,2.568741176,2.534064706,2.394117647,2.164266471,2.539817647,2.507327941,2.405851176,2.438524118,2.297862353,2.150351765,2.336295,2.559768824,2.232472941,2.156711765,2.48454,2.500061176
C3orf62,3.413651765,3.687273529,3.357364118,3.646287647,3.458521765,3.671861765,3.505064118,3.226443529,3.476572941,4.316742941,4.235706471,3.989669412,3.997625882,4.248066471,4.448909412,3.893040588,3.655626471
C14orf119,7.974441176,8.069641765,7.85217,8.110871471,8.048953529,8.114952353,7.998421765,8.020678529,8.020602941,7.993426471,8.019268235,7.981455294,8.179775882,8.155975294,8.126493529,8.433977059,8.390371765
CXorf38,6.299059412,6.353589412,6.507278824,6.559897647,6.652783529,6.682132941,6.477002353,6.546627647,6.753651471,6.510568824,5.988677059,6.059155588,6.370564118,5.964667647,6.17837,5.671627059,5.992193529
C11orf86,3.867564706,3.758524706,3.936285294,3.909615882,4.026861176,4.095778824,3.815371765,4.055791176,3.866834118,3.871864118,3.681576471,3.930004706,3.919971765,3.993797059,3.729096471,3.931789118,3.950868235
C12orf43,9.286557059,9.10478,9.223082941,9.225691765,9.254451765,9.196258824,9.254048824,9.245724706,9.135995882,8.88318,8.831352353,9.01621,8.652288235,8.723961765,8.737821471,8.506817059,8.719671765
C19orf25,7.469317647,7.593564706,7.521799706,7.521508824,7.537461176,7.531268235,7.559433529,7.577454118,7.595562353,7.42479,7.483452941,7.405308235,7.498958824,7.436132353,7.458664118,7.724862353,7.66545
C19orf47,5.992111765,6.040304412,5.928101176,5.956604706,5.980982941,5.932383529,6.064395294,5.983144118,5.801708824,5.855284118,5.713795294,5.851452353,5.865063529,5.89755,5.974830588,6.493462941,6.311463529
C11orf52,5.257401765,4.594214706,5.002526471,5.026735294,4.975959412,4.595795882,4.745031765,4.908580588,4.542942353,4.742248235,5.182254412,4.390860588,5.055024706,4.725848235,4.988200588,5.022099412,5.105581176
