Gene name	Human gene name	Human homology type	Human gene stable ID	Human orthology confidence [0 low, 1 high]	%id. target Human gene identical to query gene
mt-Tf					
mt-Rnr1					
mt-Tv					
mt-Rnr2					
mt-Tl1					
mt-Nd1	MT-ND1	ortholog_one2one	ENSG00000198888	1	77.044
mt-Ti					
mt-Tq					
mt-Tm					
mt-Nd2	MT-ND2	ortholog_one2one	ENSG00000198763	1	57.3913
mt-Tw					
mt-Ta					
mt-Tn					
mt-Tc					
mt-Ty					
mt-Co1	MT-CO1	ortholog_one2one	ENSG00000198804	1	90.6615
mt-Ts1					
mt-Td					
mt-Co2	MT-CO2	ortholog_one2one	ENSG00000198712	1	71.3656
mt-Tk					
mt-Atp8	MT-ATP8	ortholog_one2one	ENSG00000228253	0	46.2687
mt-Atp6	MT-ATP6	ortholog_one2one	ENSG00000198899	1	75.6637
mt-Co3	MT-CO3	ortholog_one2one	ENSG00000198938	1	86.9732
mt-Tg					
mt-Nd3	MT-ND3	ortholog_one2one	ENSG00000198840	1	66.087
mt-Tr					
mt-Nd4l	MT-ND4L	ortholog_one2one	ENSG00000212907	1	66.3265
mt-Nd4	MT-ND4	ortholog_one2one	ENSG00000198886	1	66.8845
mt-Th					
mt-Ts2					
mt-Tl2					
mt-Nd5	MT-ND5	ortholog_one2one	ENSG00000198786	1	63.4267
mt-Nd6	MT-ND6	ortholog_one2one	ENSG00000198695	1	52.907
mt-Te					
mt-Cytb	MT-CYB	ortholog_one2one	ENSG00000198727	1	77.9528
mt-Tt					
mt-Tp					
					
					
					
					
Vmn1r186					
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	42.6195
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	37.422
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	37.0062
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	39.9168
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	37.0062
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	39.9168
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	36.7983
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	39.7089
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	36.7983
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	40.1247
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	37.422
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	36.3825
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	39.7089
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	41.7879
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	36.7983
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	38.6694
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	37.6299
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	39.7089
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	39.7089
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	40.1247
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	39.2931
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	41.7879
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	43.2432
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	38.8206
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	38.8206
	PRAMEF20	ortholog_many2many	ENSG00000204478	0	40.7862
	PRAMEF1	ortholog_many2many	ENSG00000116721	0	38.0835
	PRAMEF15	ortholog_many2many	ENSG00000204501	0	41.5233
	PRAMEF14	ortholog_many2many	ENSG00000204481	0	38.0835
	PRAMEF9	ortholog_many2many	ENSG00000204505	0	41.5233
	PRAMEF13	ortholog_many2many	ENSG00000279169	0	38.0835
	PRAMEF5	ortholog_many2many	ENSG00000270601	0	41.769
	PRAMEF19	ortholog_many2many	ENSG00000204480	0	41.0319
	PRAMEF2	ortholog_many2many	ENSG00000120952	0	37.5921
	PRAMEF25	ortholog_many2many	ENSG00000229571	0	41.2776
	PRAMEF7	ortholog_many2many	ENSG00000204510	0	42.2604
	PRAMEF33	ortholog_many2many	ENSG00000237700	0	38.3292
	PRAMEF11	ortholog_many2many	ENSG00000239810	0	40.5405
	PRAMEF18	ortholog_many2many	ENSG00000279804	0	41.2776
	PRAMEF27	ortholog_many2many	ENSG00000274764	0	41.5233
	PRAMEF26	ortholog_many2many	ENSG00000280267	0	41.2776
	PRAMEF6	ortholog_many2many	ENSG00000232423	0	41.769
	PRAMEF4	ortholog_many2many	ENSG00000243073	0	40.7862
	PRAMEF8	ortholog_many2many	ENSG00000182330	0	42.5061
	PRAMEF12	ortholog_many2many	ENSG00000116726	0	40.1478
	PRAMEF10	ortholog_many2many	ENSG00000187545	0	36.6995
	PRAMEF17	ortholog_many2many	ENSG00000204479	0	35.9606
